time unit: s, ADC_OF1, CS_ADC, MOSI, MISO, ADC_D1[13..0],-4682.275256,402.2006231,MAX,min,
648,0,1,1,1,-4810, ,,,,
649,0,1,1,1,-4823, ,,,,
650,0,1,1,1,-4835, ,,,,
651,0,1,1,1,-4845, ,,,,
652,0,1,1,1,-4851, ,,,,
653,0,1,1,1,-4861, ,,,,
654,0,1,1,1,-4864, ,,,,
655,0,1,1,1,-4870, ,,,,
656,0,1,1,1,-4877, ,,,,
657,0,1,1,1,-4885, ,,,,
658,0,1,1,1,-4886, ,,,,
659,0,1,1,1,-4892, ,,,,
660,0,1,1,1,-4902, ,,,,
661,0,1,1,1,-4901, ,,,,
662,0,1,1,1,-4899, ,,,,
663,0,1,1,1,-4899, ,,,,
664,0,1,1,1,-4900, ,,,,
665,0,1,1,1,-4904, ,,,,
666,0,1,1,1,-4910, ,,,,
667,0,1,1,1,-4913, ,,,,
668,0,1,1,1,-4914, ,,,,
669,0,1,1,1,-4916, ,,,,
670,0,1,1,1,-4918, ,,,,
671,0,1,1,1,-4917, ,,,,
672,0,1,1,1,-4920, ,,,,
673,0,1,1,1,-4920, ,,,,
674,0,1,1,1,-4921, ,,,,
675,0,1,1,1,-4922, ,,,,
676,0,1,1,1,-4920, ,,,,
677,0,1,1,1,-4919, ,,,,
678,0,1,1,1,-4919, ,,,,
